date,segment,state,loan_count,loan_value_million
2011-06-01,Owner-occupier,VIC,19095,6917.6
2011-06-01,Owner-occupier,WA,8702,3046.4
2011-09-01,Owner-occupier,ACT,1372,535.9
2011-09-01,Owner-occupier,NSW,18990,7729.1
2011-09-01,Owner-occupier,NT,585,208.6
2011-09-01,Owner-occupier,QLD,13568,4575.6
2011-09-01,Owner-occupier,SA,5399,1562.7
2011-09-01,Owner-occupier,TAS,1617,388.8
2011-09-01,Owner-occupier,VIC,18820,6883.7
2011-09-01,Owner-occupier,WA,8768,2998.2
2011-12-01,Owner-occupier,ACT,1384,519.1
2011-12-01,Owner-occupier,NSW,21718,8216.4
2011-12-01,Owner-occupier,NT,621,217.7
2011-12-01,Owner-occupier,QLD,13863,4525.2
2011-12-01,Owner-occupier,SA,5274,1493.8
2011-12-01,Owner-occupier,TAS,1467,352.4
2011-12-01,Owner-occupier,VIC,17794,6297.1
2011-12-01,Owner-occupier,WA,9011,3053.2
2012-03-01,Owner-occupier,ACT,1358,520.2
2012-03-01,Owner-occupier,NSW,19312,7592.3
2012-03-01,Owner-occupier,NT,656,249.8
2012-03-01,Owner-occupier,QLD,14735,4824.3
2012-03-01,Owner-occupier,SA,5394,1474.3
2012-03-01,Owner-occupier,TAS,1437,349.0
2012-03-01,Owner-occupier,VIC,18894,6591.3
2012-03-01,Owner-occupier,WA,9832,3391.6
2012-06-01,Owner-occupier,ACT,1376,521.9
2012-06-01,Owner-occupier,NSW,17882,7146.5
2012-06-01,Owner-occupier,NT,675,255.5
2012-06-01,Owner-occupier,QLD,14738,4952.4
2012-06-01,Owner-occupier,SA,5286,1461.0
2012-06-01,Owner-occupier,TAS,1450,351.3
2012-06-01,Owner-occupier,VIC,19334,6860.8
2012-06-01,Owner-occupier,WA,9860,3437.1
2012-09-01,Owner-occupier,ACT,1426,558.6
2012-09-01,Owner-occupier,NSW,18633,7488.3
2012-09-01,Owner-occupier,NT,709,273.2
2012-09-01,Owner-occupier,QLD,14757,4927.7
2012-09-01,Owner-occupier,SA,5199,1469.6
2012-09-01,Owner-occupier,TAS,1522,360.3
2012-09-01,Owner-occupier,VIC,19475,6978.3
2012-09-01,Owner-occupier,WA,10731,3835.0
2012-12-01,Owner-occupier,ACT,1430,571.4
2012-12-01,Owner-occupier,NSW,18343,7328.0
2012-12-01,Owner-occupier,NT,749,290.0
2012-12-01,Owner-occupier,QLD,15537,5122.1
2012-12-01,Owner-occupier,SA,5245,1497.1
2012-12-01,Owner-occupier,TAS,1569,373.1
