date,segment,loan_purpose,loan_count,loan_value_million
2007-03-01,Owner-occupier,Purchase of newly erected dwellings,6815.0,1941.0
2007-03-01,Owner-occupier,Total,98982.0,27081.0
2007-06-01,Owner-occupier,"Alterations, additions and repairs",,986.7
2007-06-01,Owner-occupier,Construction of dwellings,9524.0,2826.6
2007-06-01,Owner-occupier,External refinancing,45253.0,10378.6
2007-06-01,Owner-occupier,Purchase of existing dwellings,88458.0,24786.5
2007-06-01,Owner-occupier,Purchase of newly erected dwellings,7000.0,2039.3
2007-06-01,Owner-occupier,Total,103665.0,29531.7
2007-09-01,Owner-occupier,"Alterations, additions and repairs",,965.2
2007-09-01,Owner-occupier,Construction of dwellings,9794.0,2951.7
2007-09-01,Owner-occupier,External refinancing,42962.0,10059.3
2007-09-01,Owner-occupier,Purchase of existing dwellings,85884.0,24481.4
2007-09-01,Owner-occupier,Purchase of newly erected dwellings,6962.0,2063.4
2007-09-01,Owner-occupier,Total,101650.0,29451.4
2007-12-01,Owner-occupier,"Alterations, additions and repairs",,939.0
2007-12-01,Owner-occupier,Construction of dwellings,10129.0,3054.0
2007-12-01,Owner-occupier,External refinancing,44635.0,10222.9
2007-12-01,Owner-occupier,Purchase of existing dwellings,85716.0,24490.3
2007-12-01,Owner-occupier,Purchase of newly erected dwellings,5599.0,1618.2
2007-12-01,Owner-occupier,Total,100049.0,29007.9
2008-03-01,Owner-occupier,"Alterations, additions and repairs",,949.7
2008-03-01,Owner-occupier,Construction of dwellings,9913.0,2903.4
2008-03-01,Owner-occupier,External refinancing,46015.0,10579.5
2008-03-01,Owner-occupier,Purchase of existing dwellings,78064.0,22427.8
2008-03-01,Owner-occupier,Purchase of newly erected dwellings,4716.0,1341.6
2008-03-01,Owner-occupier,Total,92169.0,26756.9
2008-06-01,Owner-occupier,"Alterations, additions and repairs",,882.0
2008-06-01,Owner-occupier,Construction of dwellings,9343.0,2811.7
2008-06-01,Owner-occupier,External refinancing,40963.0,9862.9
2008-06-01,Owner-occupier,Purchase of existing dwellings,65344.0,19309.5
2008-06-01,Owner-occupier,Purchase of newly erected dwellings,4006.0,1181.4
2008-06-01,Owner-occupier,Total,78221.0,23249.3
2008-09-01,Owner-occupier,"Alterations, additions and repairs",,905.6
2008-09-01,Owner-occupier,Construction of dwellings,8526.0,2617.0
2008-09-01,Owner-occupier,External refinancing,36902.0,9219.0
2008-09-01,Owner-occupier,Purchase of existing dwellings,61277.0,18632.6
2008-09-01,Owner-occupier,Purchase of newly erected dwellings,3829.0,1160.0
2008-09-01,Owner-occupier,Total,73313.0,22370.0
2008-12-01,Owner-occupier,"Alterations, additions and repairs",,1048.5
2008-12-01,Owner-occupier,Construction of dwellings,8527.0,2647.7
2008-12-01,Owner-occupier,External refinancing,36001.0,9831.5
2008-12-01,Owner-occupier,Purchase of existing dwellings,64291.0,19926.7
2008-12-01,Owner-occupier,Purchase of newly erected dwellings,4637.0,1426.8
2008-12-01,Owner-occupier,Total,76537.0,23864.9
2009-03-01,Owner-occupier,"Alterations, additions and repairs",,1135.6
2009-03-01,Owner-occupier,Construction of dwellings,10529.0,3274.8
2009-03-01,Owner-occupier,External refinancing,36590.0,10031.8
2009-03-01,Owner-occupier,Purchase of existing dwellings,79529.0,24961.3
2009-03-01,Owner-occupier,Purchase of newly erected dwellings,5717.0,1768.0
2009-03-01,Owner-occupier,Total,95377.0,30092.3
2009-06-01,Owner-occupier,"Alterations, additions and repairs",,1119.5
2009-06-01,Owner-occupier,Construction of dwellings,12870.0,3956.5
2009-06-01,Owner-occupier,External refinancing,36760.0,10241.7
2009-06-01,Owner-occupier,Purchase of existing dwellings,83577.0,26650.4
2009-06-01,Owner-occupier,Purchase of newly erected dwellings,5897.0,1834.0
2009-06-01,Owner-occupier,Total,101933.0,32399.8
2009-09-01,Owner-occupier,"Alterations, additions and repairs",,1058.6
2009-09-01,Owner-occupier,Construction of dwellings,14136.0,4370.2
2009-09-01,Owner-occupier,External refinancing,33815.0,9263.7
2009-09-01,Owner-occupier,Purchase of existing dwellings,80504.0,26326.2
2009-09-01,Owner-occupier,Purchase of newly erected dwellings,5973.0,1910.7
2009-09-01,Owner-occupier,Total,100827.0,32609.8
2009-12-01,Owner-occupier,"Alterations, additions and repairs",,950.1
2009-12-01,Owner-occupier,Construction of dwellings,14849.0,4632.7
2009-12-01,Owner-occupier,External refinancing,30783.0,8436.8
2009-12-01,Owner-occupier,Purchase of existing dwellings,69628.0,24018.8
2009-12-01,Owner-occupier,Purchase of newly erected dwellings,5296.0,1789.9
2009-12-01,Owner-occupier,Total,89686.0,30403.5
2010-03-01,Owner-occupier,"Alterations, additions and repairs",,871.8
2010-03-01,Owner-occupier,Construction of dwellings,12321.0,4079.9
2010-03-01,Owner-occupier,External refinancing,29242.0,8136.2
2010-03-01,Owner-occupier,Purchase of existing dwellings,59165.0,21286.6
2010-03-01,Owner-occupier,Purchase of newly erected dwellings,4689.0,1618.9
2010-03-01,Owner-occupier,Total,76635.0,27059.2
2010-06-01,Owner-occupier,"Alterations, additions and repairs",,830.2
2010-06-01,Owner-occupier,Construction of dwellings,10304.0,3356.2
2010-06-01,Owner-occupier,External refinancing,28192.0,7822.0
2010-06-01,Owner-occupier,Purchase of existing dwellings,55534.0,20348.6
2010-06-01,Owner-occupier,Purchase of newly erected dwellings,5064.0,1672.2
2010-06-01,Owner-occupier,Total,71047.0,25395.8
2010-09-01,Owner-occupier,"Alterations, additions and repairs",,809.9
2010-09-01,Owner-occupier,Construction of dwellings,9800.0,3337.5
2010-09-01,Owner-occupier,External refinancing,30592.0,8715.0
2010-09-01,Owner-occupier,Purchase of existing dwellings,55522.0,20378.5
2010-09-01,Owner-occupier,Purchase of newly erected dwellings,5104.0,1707.9
2010-09-01,Owner-occupier,Total,70454.0,25458.6
2010-12-01,Owner-occupier,"Alterations, additions and repairs",,840.5
2010-12-01,Owner-occupier,Construction of dwellings,9932.0,3392.3
2010-12-01,Owner-occupier,External refinancing,32868.0,9401.0
2010-12-01,Owner-occupier,Purchase of existing dwellings,55730.0,20228.9
2010-12-01,Owner-occupier,Purchase of newly erected dwellings,5286.0,1934.1
2010-12-01,Owner-occupier,Total,70597.0,25511.7
2011-03-01,Owner-occupier,"Alterations, additions and repairs",,776.8
2011-03-01,Owner-occupier,Construction of dwellings,9253.0,3247.8
2011-03-01,Owner-occupier,External refinancing,31949.0,9203.6
2011-03-01,Owner-occupier,Purchase of existing dwellings,54718.0,19718.9
2011-03-01,Owner-occupier,Purchase of newly erected dwellings,4225.0,1595.4
2011-03-01,Owner-occupier,Total,68238.0,24610.0
2011-06-01,Owner-occupier,"Alterations, additions and repairs",,799.3
2011-06-01,Owner-occupier,Construction of dwellings,9534.0,3292.2
2011-06-01,Owner-occupier,External refinancing,34574.0,9948.4
2011-06-01,Owner-occupier,Purchase of existing dwellings,54389.0,19744.6
2011-06-01,Owner-occupier,Purchase of newly erected dwellings,4780.0,1759.3
2011-06-01,Owner-occupier,Total,68766.0,24835.1
2011-09-01,Owner-occupier,"Alterations, additions and repairs",,802.5
2011-09-01,Owner-occupier,Construction of dwellings,9503.0,3248.4
2011-09-01,Owner-occupier,External refinancing,36738.0,10814.4
2011-09-01,Owner-occupier,Purchase of existing dwellings,54974.0,19791.2
2011-09-01,Owner-occupier,Purchase of newly erected dwellings,4890.0,1797.0
2011-09-01,Owner-occupier,Total,69266.0,24826.6
2011-12-01,Owner-occupier,"Alterations, additions and repairs",,753.2
2011-12-01,Owner-occupier,Construction of dwellings,9345.0,3181.2
2011-12-01,Owner-occupier,External refinancing,37238.0,10687.4
